alert_id,cluster_id,severity,status,evidence_confidence,suppressed,suppression_reason,risk_score,risk_level,classification_label,classification_score,false_alarm_indicator,detection_reliability,observation_count,active_days,persistence_category,max_frp,max_bright_ti4,bt_diff_max,movement_direction,movement_bearing_degrees,movement_rate_km_per_day,movement_pattern,latitude,longitude,nearest_station_name,station_distance_km,station_available,reasons,alert_rationale,created_at,updated_at,is_decision_support_only
TAL-01334,1334,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,2,1,isolated,1.05,309.94,19.8,,,0.0,insufficient_evidence,15.17173,76.68755,Fire station (unnamed),18.89,True,"High false-alarm concern; Verified fire station nearby: Fire station (unnamed) (18.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Verified fire station nearby: Fire station (unnamed) (18.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01335,1335,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,9.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,2.21,311.57,21.77,,,0.0,insufficient_evidence,15.18605,76.63982,Fire station (unnamed),16.04,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (16.0 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (16.0 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01336,1336,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,1.85,314.41,27.45,,,0.0,insufficient_evidence,15.226,76.76328,Ballari Fire Station,17.89,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Ballari Fire Station (17.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Ballari Fire Station (17.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01337,1337,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Agricultural-context thermal event,0.4,HIGH,LOW,1,1,isolated,0.84,298.11,12.33,,,0.0,insufficient_evidence,15.65858,73.9884,Manohar International Airport Satellite Fire Station,16.76,True,"High false-alarm concern; Single observation (no temporal recurrence); Agricultural-context event; Verified fire station nearby: Manohar International Airport Satellite Fire Station (16.8 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Agricultural-context event; Verified fire station nearby: Manohar International Airport Satellite Fire Station (16.8 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01338,1338,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,0.74,303.14,13.66,,,0.0,insufficient_evidence,27.0781,73.81679,,,False,"High false-alarm concern; Single observation (no temporal recurrence); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01339,1339,LOW,ACTIVE,HIGH,False,,21.0,LOW,Industrial-context thermal event,0.65,LOW,HIGH,4,3,short_lived_repeated,1.72,315.29,20.56,,,0.02,stationary,24.82029,73.09284,,,False,Low false-alarm concern; High evidence reliability; Recurring thermal activity (3 active days); Industrial context detected (score 0.65),Decision-support thermal anomaly alert. Low false-alarm concern; High evidence reliability; Recurring thermal activity (3 active days); Industrial context detected (score 0.65). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01340,1340,LOW,ACTIVE,MODERATE,False,,27.2,LOW,Agricultural-context thermal event,0.55,MEDIUM,MEDIUM,1,1,isolated,5.8,340.92,45.54,,,0.0,insufficient_evidence,27.1462,88.45207,Fire station (unnamed),8.97,True,Single observation (no temporal recurrence); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (9.0 km),Decision-support thermal anomaly alert. Single observation (no temporal recurrence); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (9.0 km). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01341,1341,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,1.62,333.68,30.86,,,0.0,insufficient_evidence,9.20352,78.30371,Sattur Fire Station,45.99,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Sattur Fire Station (46.0 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Sattur Fire Station (46.0 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01342,1342,HIGH,ACTIVE,HIGH,False,,61.0,HIGH,Agricultural-context thermal event,0.55,LOW,HIGH,2,1,isolated,17.53,345.97,51.39,,,0.0,insufficient_evidence,9.28485,77.33478,Surandai Fire Station,36.15,True,Risk score 61/100 (HIGH risk); Low false-alarm concern; High evidence reliability; Elevated thermal power (FRP 17.5 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Surandai Fire Station (36.1 km),Decision-support thermal anomaly alert. Risk score 61/100 (HIGH risk); Low false-alarm concern; High evidence reliability; Elevated thermal power (FRP 17.5 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Surandai Fire Station (36.1 km). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01343,1343,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,19.0,LOW,Agricultural-context thermal event,0.55,HIGH,LOW,1,1,isolated,11.93,336.47,42.54,,,0.0,insufficient_evidence,9.29291,77.32247,Surandai Fire Station,37.39,True,"High false-alarm concern; Single observation (no temporal recurrence); Elevated thermal power (FRP 11.9 MW); Agricultural-context event; Verified fire station nearby: Surandai Fire Station (37.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Elevated thermal power (FRP 11.9 MW); Agricultural-context event; Verified fire station nearby: Surandai Fire Station (37.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01344,1344,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,16.0,LOW,Agricultural-context thermal event,0.55,HIGH,LOW,1,1,isolated,5.79,337.3,42.98,,,0.0,insufficient_evidence,9.2991,77.3353,Surandai Fire Station,37.67,True,"High false-alarm concern; Single observation (no temporal recurrence); Agricultural-context event; Verified fire station nearby: Surandai Fire Station (37.7 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Agricultural-context event; Verified fire station nearby: Surandai Fire Station (37.7 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01345,1345,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,13.0,LOW,Industrial-context thermal event,0.45,HIGH,LOW,1,1,isolated,2.18,331.47,40.88,,,0.0,insufficient_evidence,10.95061,76.98169,Coimbatore Fire Staion,5.46,True,"High false-alarm concern; Single observation (no temporal recurrence); Industrial context detected (score 0.45); Verified fire station nearby: Coimbatore Fire Staion (5.5 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Industrial context detected (score 0.45); Verified fire station nearby: Coimbatore Fire Staion (5.5 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01346,1346,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,19.0,LOW,Agricultural-context thermal event,0.55,HIGH,LOW,1,1,isolated,10.39,334.58,37.55,,,0.0,insufficient_evidence,11.32219,78.36883,Fire station (unnamed),43.86,True,"High false-alarm concern; Single observation (no temporal recurrence); Elevated thermal power (FRP 10.4 MW); Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (43.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Elevated thermal power (FRP 10.4 MW); Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (43.9 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01347,1347,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,9.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,3.48,333.28,34.24,,,0.0,insufficient_evidence,11.72647,78.68995,Kallakurichi Fire Station,28.15,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Kallakurichi Fire Station (28.1 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Kallakurichi Fire Station (28.1 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01348,1348,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,9.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,3.48,330.79,34.6,,,0.0,insufficient_evidence,11.77874,79.49855,Villupuram Fire Station,18.34,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Villupuram Fire Station (18.3 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Villupuram Fire Station (18.3 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
