cluster_id,observation_count,active_days,first_detection,last_detection,duration_days,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,mean_frp,max_frp,mean_confidence,persistence_score,persistence_category,bt_diff_mean,bt_diff_max,frp_mean_to_max_ratio,frp_per_observation,detection_density,active_day_ratio,is_multi_day,is_persistent_candidate,persistence_category_code,anomaly_score,anomaly_flag,abnormality_level,anomaly_characterization,explanation,contributing_factors
1125,5,2,2026-08-19,2026-08-22,4,307.118,310.24,287.88,291.29,1.97,3.17,2.0,0.0667,short_lived_repeated,19.238,18.95,0.6215,0.394,1.25,0.5,1,0,1,-0.0706,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1126,1,1,2026-08-19,2026-08-19,1,306.4,306.4,290.52,290.52,1.7,1.7,2.0,0.0333,isolated,15.88,15.88,1.0,1.7,1.0,1.0,0,0,0,-0.1897,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1127,5,3,2026-08-19,2026-08-22,4,307.558,310.39,283.878,289.8,2.03,4.38,2.0,0.1,short_lived_repeated,23.68,20.59,0.4635,0.406,1.25,0.75,1,0,1,-0.047,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
1128,13,6,2026-08-19,2026-08-25,7,314.106,340.74,285.652,298.79,2.735,6.29,2.0,0.2,persistent,28.454,41.95,0.4348,0.2104,1.8571,0.8571,1,1,2,0.0357,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and persistent multi-day activity.,"max_bright_ti4,active_days"
1129,45,5,2026-08-19,2026-08-23,5,311.487,342.21,282.382,297.15,2.462,8.98,2.0,0.1667,persistent,29.105,45.06,0.2742,0.0547,9.0,1.0,1,1,2,0.1187,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and persistent multi-day activity.,"max_bright_ti4,bt_diff_max,active_days"
1130,22,5,2026-08-19,2026-08-29,11,308.207,331.22,287.943,295.74,2.345,3.81,2.0,0.1667,persistent,20.264,35.48,0.6155,0.1066,2.0,0.4545,1,1,2,0.0865,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
1131,13,4,2026-08-19,2026-08-23,5,305.688,310.37,283.382,290.44,1.985,4.23,2.0,0.1333,short_lived_repeated,22.306,19.93,0.4693,0.1527,2.6,0.8,1,0,1,0.0018,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
1132,39,5,2026-08-19,2026-08-23,5,310.129,337.91,280.612,294.67,2.192,6.75,2.0,0.1667,persistent,29.517,43.24,0.3247,0.0562,7.8,1.0,1,1,2,0.1025,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
1133,17,5,2026-08-19,2026-08-23,5,311.615,339.02,281.781,293.0,1.924,5.67,2.0,0.1667,persistent,29.834,46.02,0.3393,0.1132,3.4,1.0,1,1,2,0.0441,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and persistent multi-day activity.,"bt_diff_max,active_days"
1134,4,3,2026-08-19,2026-08-21,3,305.772,309.65,287.635,291.57,2.138,3.33,2.0,0.1,short_lived_repeated,18.137,18.08,0.642,0.5345,1.3333,1.0,1,0,1,-0.0812,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
